,X.1,X,site.name,ID,PM2.5_2015,AQI_2015,N_2015,PM2.5_2016,AQI_2016,N_2016,PM2.5_2017,AQI_2017,N_2017,PM2.5_2018,AQI_2018,N_2018,PM2.5_2019,AQI_2019,N_2019,Season,interstate,distance_feet,distance_mi,name_pp,active_flag,fuel_type,PP_distance_feet,PP_distance_mi,med_income,PM2.5_2020,AQI_2020,N_2020,PM2.5_2021,AQI_2021,N_2021
107,107,107,St. Michael Elementary School,St. Michael Elementary School_Winter,7.972413793,31.54022989,87,7.905617978,32.17977528,89,8.113483146,32.93258427,89,7.831460674,31.1011236,89,6.850574713,27.66666667,87,Winter,94,10929.6,2.07,Great River Energy - Saint Bonifacius,Y,Diesel,58650.16957,11.11036116,NA,10.71222222,40.83333333,90,6.973333333,28.73333333,90
108,108,108,Talahi School,Talahi School_Fall,5.321428571,22.02380952,84,4.742352941,19.8,85,5.956790123,24.83950617,81,5.06375,20.0875,80,4.881176471,20.08235294,85,Fall,94,20697.6,3.92,Great River Energy - Maple Lake,Y,Diesel,121686.7178,23.05165344,23750,6.5,26.63636364,88,5.472413793,22.82758621,87
109,109,109,Talahi School,Talahi School_Spring,4.336986301,18.1369863,73,5.931506849,24.54794521,73,4.369863014,18.26027397,73,6.423287671,26.82191781,73,4.743835616,19.69863014,73,Spring,94,20697.6,3.92,Great River Energy - Maple Lake,Y,Diesel,121686.7178,23.05165344,23750,5.491304348,22.58695652,92,5.654347826,23.52173913,92
110,110,110,Talahi School,Talahi School_Summer,5.926086957,22.91304348,92,3.927433628,16.39823009,113,5.646846847,23.02702703,111,6.194495413,25.27522936,109,4.800892857,19.75,112,Summer,94,20697.6,3.92,Great River Energy - Maple Lake,Y,Diesel,121686.7178,23.05165344,23750,5.05,20.91304348,92,13.4893617,42.44680851,94
111,111,111,Talahi School,Talahi School_Winter,8.594382022,34.02247191,89,6.892134831,27.98876404,89,8.268539326,33.39325843,89,7.751666667,30.56666667,60,6.702247191,27.1011236,89,Winter,94,20697.6,3.92,Great River Energy - Maple Lake,Y,Diesel,121686.7178,23.05165344,23750,10.31022727,39.21590909,88,7.958888889,32.73333333,90
112,112,112,U of M - Duluth,U of M - Duluth_Fall,4.205263158,17.52631579,38,2.829411765,11.79411765,34,4.034285714,16.71428571,35,3.402941176,13.35294118,34,7.097647059,29.4,85,Fall,35,7656,1.45,Duluth Steam Plant 1,Y,Coal,12364.8762,2.342333216,6165,7.5375,31.10227273,88,1.648684211,8.105263158,76
113,113,113,U of M - Duluth,U of M - Duluth_Spring,3.620689655,15.13793103,29,2.722727273,11.45454545,22,3.346153846,13.96153846,26,4.088461538,17.07692308,26,2.780769231,11.69230769,26,Spring,35,7656,1.45,Duluth Steam Plant 1,Y,Coal,12364.8762,2.342333216,6165,6.386206897,26.65517241,87,1.57752809,7.370786517,89
114,114,114,U of M - Duluth,U of M - Duluth_Summer,6.69787234,26.95744681,47,4.16,17.35,40,5.095348837,21.20930233,43,5.395,21.8,40,5.1,21.28813559,59,Summer,35,7656,1.45,Duluth Steam Plant 1,Y,Coal,12364.8762,2.342333216,6165,6.338297872,26.30851064,94,4.854022989,19.31034483,87
115,115,115,U of M - Duluth,U of M - Duluth_Winter,5.934285714,24.48571429,35,5.832258065,22.16129032,31,3.924242424,16.12121212,33,4.848275862,19.62068966,29,9.971764706,39.83529412,85,Winter,35,7656,1.45,Duluth Steam Plant 1,Y,Coal,12364.8762,2.342333216,6165,5.203614458,20.93975904,83,5.490909091,22.82954545,88
116,116,116,Virginia City Hall,Virginia City Hall_Fall,4.684705882,19.52941176,85,2.945882353,12.54117647,85,3.958333333,16.8452381,84,4.7,18.89772727,88,4.051724138,16.93103448,87,Fall,35,294940.8,55.86,Virginia Department of Public Utilities,Y,Coal/Natural gas/Biomass,839.0794131,0.158950526,16013,4.17,17.42222222,90,4.224444444,17.37777778,90
117,117,117,Virginia City Hall,Virginia City Hall_Spring,6.004166667,24.90277778,72,4.098630137,16.34246575,73,1.055714286,5.542857143,70,5.293055556,22.125,72,3.267647059,13.64705882,68,Spring,35,294940.8,55.86,Virginia Department of Public Utilities,Y,Coal/Natural gas/Biomass,839.0794131,0.158950526,16013,4.227777778,17.68888889,90,3.95,16.51086957,92
118,118,118,Virginia City Hall,Virginia City Hall_Summer,7.687272727,30.10909091,110,3.324778761,13.84070796,113,3.443362832,14.61946903,113,6.625663717,25.84070796,113,5.412389381,21.96460177,113,Summer,35,294940.8,55.86,Virginia Department of Public Utilities,Y,Coal/Natural gas/Biomass,839.0794131,0.158950526,16013,3.489361702,14.41489362,94,11.9287234,40.46808511,94
119,119,119,Virginia City Hall,Virginia City Hall_Winter,4.737078652,19.50561798,89,3.485393258,14.41573034,89,5.596590909,23.13636364,88,5.434831461,22.53932584,89,5.32247191,21.86516854,89,Winter,35,294940.8,55.86,Virginia Department of Public Utilities,Y,Coal/Natural gas/Biomass,839.0794131,0.158950526,16013,5.196341463,21.17073171,82,4.697752809,19.59550562,89
120,120,120,Voyageurs NP - Sullivan Bay,Voyageurs NP - Sullivan Bay_Fall,2.931034483,12.24137931,29,1.936666667,8.233333333,30,2.896,12.04,25,2.653571429,10.89285714,28,1.873333333,7.9,30,Fall,11 (CA),118008,22.35,Worthington Diesel Generating Plant,Y,Diesel,2389904.98,452.7302763,NA,3.114285714,12.96428571,28,NA,NA,0
121,121,121,Voyageurs NP - Sullivan Bay,Voyageurs NP - Sullivan Bay_Spring,2.743478261,11.47826087,23,4.491666667,15.95833333,24,2.225,9.291666667,24,2.866666667,11.83333333,24,1.976,8.24,25,Spring,11 (CA),118008,22.35,Worthington Diesel Generating Plant,Y,Diesel,2389904.98,452.7302763,NA,2.628,11.04,25,2.542307692,10.69230769,26
122,122,122,Voyageurs NP - Sullivan Bay,Voyageurs NP - Sullivan Bay_Summer,6.118918919,24.18918919,37,3.040540541,12.81081081,37,4.402631579,18.34210526,38,4.792105263,19.23684211,38,3.731428571,15.62857143,35,Summer,11 (CA),118008,22.35,Worthington Diesel Generating Plant,Y,Diesel,2389904.98,452.7302763,NA,2.90625,12.125,32,3.725,15.75,4
123,123,123,Voyageurs NP - Sullivan Bay,Voyageurs NP - Sullivan Bay_Winter,2.996296296,12.55555556,27,3.544444444,14.85185185,27,2.679310345,11.06896552,29,2.71875,11.375,16,3.246428571,13.57142857,28,Winter,11 (CA),118008,22.35,Worthington Diesel Generating Plant,Y,Diesel,2389904.98,452.7302763,NA,3.207692308,12.96153846,26,NA,NA,0
